4706
1.00000E-07	1000010010	1.00000E+00	-2.99997E-03	-6.72171E-08	6.95066E-08	2.55044E-01	-6.72214E-01	6.95041E-01
4.05556E-07	1000010010	1.00000E+00	-2.99990E-03	-2.72655E-07	2.81857E-07	2.54784E-01	-6.72470E-01	6.94888E-01
1.93334E-06	1000010010	1.00000E+00	-2.99951E-03	-1.30102E-06	1.34291E-06	2.53486E-01	-6.73752E-01	6.94120E-01
9.57224E-06	1000010010	1.00000E+00	-2.99760E-03	-6.47208E-06	6.63052E-06	2.46964E-01	-6.80106E-01	6.90265E-01
1.00000E-05	1000010010	1.00000E+00	-2.99749E-03	-6.76307E-06	6.92574E-06	2.46597E-01	-6.80459E-01	6.90048E-01
1.00000E-07	1000010010	1.00000E+00	-3.00009E-03	-3.80457E-08	-2.70456E-08	-8.84394E-01	-3.80408E-01	-2.70438E-01
4.28210E-07	1000010010	1.00000E+00	-3.00038E-03	-1.62847E-07	-1.15787E-07	-8.84568E-01	-3.80086E-01	-2.70320E-01
2.06926E-06	1000010010	1.00000E+00	-3.00183E-03	-7.85268E-07	-5.58912E-07	-8.85438E-01	-3.78477E-01	-2.69731E-01
1.00000E-05	1000010010	1.00000E+00	-3.00887E-03	-3.75598E-06	-2.68689E-06	-8.89578E-01	-3.70682E-01	-2.66918E-01
1.00000E-07	1000010010	1.00000E+00	-2.99998E-03	2.96344E-08	-9.40276E-08	1.67535E-01	2.96298E-01	-9.40287E-01
4.05351E-07	1000010010	1.00000E+00	-2.99993E-03	1.20067E-07	-3.81155E-07	1.67669E-01	2.96023E-01	-9.40350E-01
1.93211E-06	1000010010	1.00000E+00	-2.99968E-03	5.70972E-07	-1.81708E-06	1.68341E-01	2.94646E-01	-9.40662E-01
9.56589E-06	1000010010	1.00000E+00	-2.99838E-03	2.79390E-06	-9.00378E-06	1.71664E-01	2.87741E-01	-9.42198E-01
1.00000E-05	1000010010	1.00000E+00	-2.99830E-03	2.91873E-06	-9.41281E-06	1.71851E-01	2.87348E-01	-9.42284E-01
1.00000E-07	1000010010	1.00000E+00	-3.00004E-03	-6.21149E-09	-9.15851E-08	-3.96692E-01	-6.21219E-02	-9.15847E-01
4.00411E-07	1000010010	1.00000E+00	-3.00016E-03	-2.48796E-08	-3.66712E-07	-3.96744E-01	-6.21622E-02	-9.15822E-01
1.90247E-06	1000010010	1.00000E+00	-3.00075E-03	-1.18402E-07	-1.74223E-06	-3.97000E-01	-6.23630E-02	-9.15697E-01
9.41274E-06	1000010010	1.00000E+00	-3.00374E-03	-5.90504E-07	-8.61703E-06	-3.98275E-01	-6.33555E-02	-9.15075E-01
1.00000E-05	1000010010	1.00000E+00	-3.00398E-03	-6.27733E-07	-9.15441E-06	-3.98374E-01	-6.34323E-02	-9.15027E-01
1.00000E-07	1000010010	1.00000E+00	-3.00007E-03	-4.45908E-08	-5.35609E-08	-7.17171E-01	-4.45880E-01	-5.35590E-01
4.10317E-07	1000010010	1.00000E+00	-3.00029E-03	-1.82928E-07	-2.19745E-07	-7.17371E-01	-4.45704E-01	-5.35468E-01
1.96190E-06	1000010010	1.00000E+00	-3.00141E-03	-8.73793E-07	-1.05010E-06	-7.18369E-01	-4.44824E-01	-5.34862E-01
9.71983E-06	1000010010	1.00000E+00	-3.00700E-03	-4.30755E-06	-5.18784E-06	-7.23313E-01	-4.40392E-01	-5.31858E-01
1.00000E-05	1000010010	1.00000E+00	-3.00720E-03	-4.43091E-06	-5.33684E-06	-7.23490E-01	-4.40231E-01	-5.31750E-01
1.00000E-07	1000010010	1.00000E+00	-2.99993E-03	-1.56439E-08	7.33924E-08	6.60962E-01	-1.56510E-01	7.33916E-01
4.35349E-07	1000010010	1.00000E+00	-2.99971E-03	-6.82086E-08	3.19502E-07	6.60908E-01	-1.56982E-01	7.33864E-01
2.11209E-06	1000010010	1.00000E+00	-2.99860E-03	-3.33407E-07	1.54978E-06	6.60635E-01	-1.59343E-01	7.33602E-01
1.00000E-05	1000010010	1.00000E+00	-2.99340E-03	-1.63406E-06	7.33137E-06	6.59285E-01	-1.70438E-01	7.32321E-01
1.00000E-07	1000010010	1.00000E+00	-3.00003E-03	9.48771E-08	1.18118E-08	-2.92992E-01	9.48786E-01	1.18156E-01
3.98728E-07	1000010010	1.00000E+00	-3.00012E-03	3.78320E-07	4.71417E-08	-2.92608E-01	9.48877E-01	1.18379E-01
1.89237E-06	1000010010	1.00000E+00	-3.00055E-03	1.79594E-06	2.24790E-07	-2.90687E-01	9.49327E-01	1.19494E-01
9.36057E-06	1000010010	1.00000E+00	-3.00269E-03	8.89391E-06	1.13801E-06	-2.81071E-01	9.51503E-01	1.25066E-01
1.00000E-05	1000010010	1.00000E+00	-3.00287E-03	9.50238E-06	1.21813E-06	-2.80247E-01	9.51683E-01	1.25543E-01
1.00000E-07	1000010010	1.00000E+00	-2.99993E-03	-1.94419E-08	7.33626E-08	6.51138E-01	-1.94488E-01	7.33617E-01
4.33776E-07	1000010010	1.00000E+00	-2.99972E-03	-8.44351E-08	3.18216E-07	6.51067E-01	-1.94954E-01	7.33556E-01
2.10265E-06	1000010010	1.00000E+00	-2.99863E-03	-4.11732E-07	1.54218E-06	6.50711E-01	-1.97281E-01	7.33250E-01
1.00000E-05	1000010010	1.00000E+00	-2.99350E-03	-2.01318E-06	7.32706E-06	6.48961E-01	-2.08281E-01	7.31757E-01
1.00000E-07	1000010010	1.00000E+00	-3.00005E-03	-8.46648E-08	-1.45118E-08	-5.12042E-01	-8.46619E-01	-1.45085E-01
